Filename;File Size (bytes);Page Count;Text Content;Processing Time (seconds)
5913320.pdf;103581;1;5913320.md;74.672235946
5913322.pdf;66482;1;5913322.md;69.37232337800015
5913324.pdf;120185;2;5913324.md;118.4285265010003
5913326.pdf;299706;1;5913326.md;4.342904170000111
5913328.pdf;179828;1;5913328.md;54.50349847299913
5932071.pdf;324355;28;5932071_batch_1.md;286.36449095899843
5932071.pdf;324355;28;5932071_batch_2.md;576.5902722259998
5932071.pdf;324355;28;5932071_batch_3.md;605.2183736490006
5932071.pdf;324355;28;5932071_batch_4.md;598.9707259120005
5932071.pdf;324355;28;5932071_batch_5.md;326.9333645610004
5932071.pdf;324355;28;5932071_batch_6.md;230.79201240300063
5932071_part_1.pdf;110321;10;5932071_part_1.md;837.1019150430002
5932071_part_2.pdf;125111;10;5932071_part_2.md;1579.4164721779998
5932071_part_3.pdf;117979;8;5932071_part_3.md;832.4376770950003
6409805.pdf;80679;2;6409805.md;6.013652141999046
6409809.pdf;80303;2;6409809.md;6.032491652998942
6409813.pdf;80128;2;6409813.md;6.216685322000558
6409816.pdf;79840;2;6409816.md;5.99181457099985
6409818.pdf;80375;2;6409818.md;6.049389126999813
6409885.pdf;72609;2;6409885.md;6.400186897000822
6409901.pdf;71781;2;6409901.md;6.073039033000896
6409907.pdf;71254;2;6409907.md;6.074648609001088
6409914.pdf;71949;2;6409914.md;6.4415536189990235
6409922.pdf;72272;2;6409922.md;5.886185764999027
6409961.pdf;71091;2;6409961.md;6.042167648998657
6409963.pdf;71118;2;6409963.md;6.228365233999284
6409975.pdf;186703;2;6409975.md;9.217548395999984
6410376.pdf;71908;2;6410376.md;6.068575876999603
6411697.pdf;66385;2;6411697.md;5.8485338509999565
6413493.pdf;81380;3;6413493.md;10.149741100000028
6414694.pdf;111558;12;6414694_batch_1.md;27.019764025999393
6414694.pdf;111558;12;6414694_batch_2.md;17.586554412000623
6414694.pdf;111558;12;6414694_batch_3.md;6.166794045000643
6439560.pdf;32151;1;6439560.md;5.497912673999963
6446100.pdf;56019;2;6446100.md;5.805533497999932
6449329.pdf;71091;2;6449329.md;6.169631493001361
